web-scraper-order,web-scraper-start-url,Product,Product-href,Name,price,Rating,Review,Description,ASIN,Product Description,Manufracturer
1692629641-11,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30/ref=sr_1_298?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-298,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,861,"1,476 ratings",4.2 out of 5 stars,Number of Compartments: 3,Gear Merchandise PVT LTD,Three main compartments one front smaller compartment bottle holder mesh embedded organizer heavily padded sleeve which fits laptop padded grab handle.,"Date First Available
                                    ‏
                                        :
                                    ‎
                                 27 July 2015"
1692629646-12,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_297?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-297,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,512,"6,453 ratings",4.0 out of 5 stars,"EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.",,,
1692629651-13,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31/ref=sr_1_296?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-296,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,819,"10,094 ratings",3.9 out of 5 stars,WATER RESISTANT – This laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner. School bags for boys is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.,B08YZ5XY31,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Akshaya Rubbers, Hebbal Industrial Area, Mysore"
1692629656-14,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",https://www.amazon.in/Sfane-Women-Trendy-Black-Duffel/dp/B07GCR84D9/ref=sr_1_295?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-295,"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",327,"1,266 ratings",4.2 out of 5 stars,,Sfane,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything. Big Compartment holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.","Date First Available
                                    ‏
                                        :
                                    ‎
                                 10 August 2018"
1692629661-15,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"F Gear Talent Laptop Backpack With Rain Cover 32 Liters (Grey,Black)",https://www.amazon.in/F-Gear-Talent-Laptop-Backpack-Grey/dp/B078KS2FX1/ref=sr_1_294?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-294,"F Gear Talent Laptop Backpack With Rain Cover 32 Liters (Grey,Black)","1,329","1,153 ratings",4.4 out of 5 stars,A very big backpack with 3 huge compartments,Uber Fashion Merchandise Pvt. Ltd.,An Awesome backpack from F Gear which is Specially designed as an everyday backpack for the youth. It is Lightweight and boasts of three huge compartments of which one is specially designed for laptop. It has a zippered pocket conveniently located at the bottom with a detachable Rain cover. Reflective printing makes it suitable for night and rainy conditions. Padded shoulder straps and back add to the comfort. Water Bottle Pouch available on both sides. Comes with F Gear promise of quality.,"Date First Available
                                    ‏
                                        :
                                    ‎
                                 22 December 2017"
1692629666-16,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Skybags Cardiff Polyester 63.5 Cms Travel Duffle Bag (Red),https://www.amazon.in/Skybags-Cardiff-Polyester-Travel-DFTCAR62ERED/dp/B073JSGMRS/ref=sr_1_293?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-293,Skybags Cardiff Polyester 63.5 Cms Travel Duffle Bag (Red),"1,908","5,020 ratings",4.2 out of 5 stars,"Lock Type: Butterfly Lock, Number of Wheels: 2, Number of compartments: 1",Skybags,"Trendy, lightweight and with wheels to get you on the move. Pack travel necessities and clothes for a short vacation or business trip. This duffle is made of durable polyester and smooth 2 wheels along trolley for easy of pulling the bag as well as shoulder strap.","Date First Available
                                    ‏
                                        :
                                    ‎
                                 30 June 2017"
1692629670-17,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,AirCase C40 Laptop Backpack Rucksacks Messenger Ba,https://www.amazon.in/AirCase-C40-Backpack-Rucksacks-Messenger/dp/B07Y8CH69Y/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-292,AirCase C40 Laptop Backpack Rucksacks Messenger Ba,999,122 ratings,3.2 out of 5 stars,"Multifunctional Compartment: This Laptop Backpack has large space multi-functional compartment for laptop and books, secure laptops up to 15.6 inch with Velcro closure and have a small inner zipped mesh pocket.",B07Y8CH69Y,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 AirCase"
1692629674-18,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",https://www.amazon.in/Mokobara-Backpack-Leather-Resistant-Laptop/dp/B0B7X8BYQJ/ref=sr_1_291?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-291,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women","7,499",102 ratings,4.6 out of 5 stars,"FLAT OPENING TECH COMPARTMENT: 5 pockets to store your iPad, adapters and other tech accessories, Padded laptop compartment with lock strap",B0B7X8BYQJ,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Designed By Mokobara Lifestyle Private Limited"
1692629682-19,https://www.amazon.in/s?k=bags&page=18&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Dolfin WaterProof Unisex Laptop Backpack 32L with USB Charging Port C, 15.6 inch Compartment, Water-Resistant and Scratch Resistant, Premium Material Laptop Office Bag for Men and Women",https://www.amazon.in/Dolfin-Backpack-Charging-Resistant-Compartment/dp/B0C5RNGRBP/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1692629676&sprefix=ba%2Caps%2C283&sr=8-292,"Dolfin WaterProof Unisex Laptop Backpack 32L with USB Charging Port C, 15.6 inch Compartment, Water-Resistant and Scratch Resistant, Premium Material Laptop Office Bag for Men and Women","1,699",3 ratings,5.0 out of 5 stars,"[PREMIUM QUALITY USB CHARGING PORT & BUILT-IN CABLE] Charge your devices on the move, no need to search for an outlet or untangle messy cables. This smart laptop bag has a Built-in Charging cable and USB Port Type C, Rest assured with safe and efficient charging, thanks to its advanced features like overcharge protection and short circuit prevention.",B0C5RNGRBP,"The Perfect Laptop Backpack: This backpack is ideal for the storage of your gadgets. It has compartments dedicated for safekeeping of your laptop and other accessories such as tablets, keys, chargers, etc. Durable Build: This laptop bag is durable and sturdy in nature. It is made using Nylon which has a long life. The make of the bag is durable and can take weight upto 7Kgs easily. Water Resistant: This backpack is made from Nylon which is also water resistant in nature. This ensures that your belongings are safe in a light shower. However please note that no bag is ever waterproof as water can always seep in through the zips thus we recommend using a rain cover for 100% protection. Neat Storage: This laptop bag is equipped with multiple internal and external pockets that allow you to segregate your belongings and store them in a neat and organised manner. Organizer Pockets: This bag also has an accessible front zipped pocket. This is ideal for storing small necessities which need to be accessed regularly. It allows convenient accessibility. Comfortable Straps: Apart from having a dignified appearance and an extensive utility, this bag also offers comfort. It has padded shoulder straps that efficiently reduce the strain on your shoulders and back.","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 J.k Enterprises"
1692629687-20,https://www.amazon.in/s?k=bags&page=18&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,https://www.amazon.in/COSMUS-Polyester-Multi-functional-Convertible-15-6-Inch/dp/B07D1R1K84/ref=sr_1_291?crid=2M096C61O4MLT&keywords=bags&qid=1692629676&sprefix=ba%2Caps%2C283&sr=8-291,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"2,255",979 ratings,4.2 out of 5 stars,<br>,Cosmus,"Cosmus Agility - Must have for travel enthusiast tech savvy guys

 Cosmus bases on the cutting-edge of fashion trends, pursuing the best quality of bag category and devoting to providing the best product and service to customers. We make every effort to achieve the best in every detail of design, color, material, sewing, sales and service. Over the years we earned customer trust and this entrust us to provide high quality bags. 

 Backpack style
 Comfortable back strap system, easy and convenient to load on your back.

 Shoulder bag style
 One back pocket for hiding the back straps, A removable Shoulder strap been included, when you use it as a shoulder bag.

 Messenger bag style
 One back pocket for hiding the back straps when you use it as a messenger bag.","Date First Available
                                    ‏
                                        :
                                    ‎
                                 11 May 2018"
1692629691-21,https://www.amazon.in/s?k=bags&page=18&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Wildcraft Hopper 1.0 Laptop Backpack 24L (Blue),https://www.amazon.in/Wildcraft-Hopper-Laptop-Backpack-Blue/dp/B07YNL6H8H/ref=sr_1_290?crid=2M096C61O4MLT&keywords=bags&qid=1692629676&sprefix=ba%2Caps%2C283&sr=8-290,Wildcraft Hopper 1.0 Laptop Backpack 24L (Blue),"1,360",10 ratings,4.4 out of 5 stars,Colour : Blue,India,This Laptop Backpack ha capacity of 24 L. This comes in blue colour.,"ASIN
                                    ‏
                                        :
                                    ‎
                                 B07YNL6H8H"
1692629696-22,https://www.amazon.in/s?k=bags&page=18&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,American Tourister Ohio Polyester 65 Cms Wheel Travel Duffle Bag (Blue),https://www.amazon.in/American-Tourister-FJ9-01-002/dp/B07N19CXKM/ref=sr_1_289?crid=2M096C61O4MLT&keywords=bags&qid=1692629676&sprefix=ba%2Caps%2C283&sr=8-289,American Tourister Ohio Polyester 65 Cms Wheel Travel Duffle Bag (Blue),"1,999","1,281 ratings",4.2 out of 5 stars,Capacity: 83 liters; Dimensions: 65 cms x 30 cms x 33 cms (LxWxH),B07N19CXKM,"The fashion conscious and on-trend American Tourister patron prefers to step-out in style no matter the occasion. Be it a trip to the gym, an overnighter or a vacation – we have a design to suit every need. Like all products from the brand, our duffel bags meet the highest quality standards for which American Tourister is known. This attention to detail is reflected in the positive feedback from our customers in 100+ countries. Made from premium dobby double dot fabric, this durable duffle offers reliability that stands up to the wear and tear of travel. The duffel bag’s lightweight design makes it a perfect companion for all your gym needs or even as a carry-on during a weekend getaway! Designed for unisex use, this bag is a good substitute for a suitcase – minus the weight and bulkiness. The main compartment offers a wide u-shaped opening for absolute hassle-free packing. There is also a spacious front quick access pocket to store a hand towel, an extra t-shirt or anything else you might need on the go. The detachable shoulder strap may also be adjusted to suit the height and stature of the person holding it. Additionally, the bag is equipped with twin grab handles to alternate carrying with the shoulder strap. Number of Compartments: 1",Country of Origin: China.
1692629701-23,https://www.amazon.in/s?k=bags&page=18&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30/ref=sr_1_288?crid=2M096C61O4MLT&keywords=bags&qid=1692629676&sprefix=ba%2Caps%2C283&sr=8-288,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,861,"1,476 ratings",4.2 out of 5 stars,Number of Compartments: 3,Gear Merchandise PVT LTD,Three main compartments one front smaller compartment bottle holder mesh embedded organizer heavily padded sleeve which fits laptop padded grab handle.,"Date First Available
                                    ‏
                                        :
                                    ‎
                                 27 July 2015"
1692629706-24,https://www.amazon.in/s?k=bags&page=18&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)",https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW/ref=sr_1_287?crid=2M096C61O4MLT&keywords=bags&qid=1692629676&sprefix=ba%2Caps%2C283&sr=8-287,"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)",437,"3,020 ratings",4.4 out of 5 stars,"Multi-Purpose & Any Occasions - Perfect Duffle Bag for hiking, family holiday, vacation, sports, a short trip, gym, work, beach, used as a overnight bag, a short journey bag, a weekender bag, gym bag, sports duffel bag.",Sfane,,"Date First Available
                                    ‏
                                        :
                                    ‎
                                 14 October 2019"
1692629711-25,https://www.amazon.in/s?k=bags&page=18&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Gear LOGI-Q 27L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Teal-Yellow),https://www.amazon.in/Gear-LOGI-Q-Resistant-Backpack-Teal-Yellow/dp/B0BTJ3QQJM/ref=sr_1_286?crid=2M096C61O4MLT&keywords=bags&qid=1692629676&sprefix=ba%2Caps%2C283&sr=8-286,Gear LOGI-Q 27L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Teal-Yellow),661,5 ratings,3.0 out of 5 stars,"Fits Laptop up to 17"" : Elasticated Bottle Pocket : Embedded Organiser : Elasticated Trolley Sleeve on Back Panel",B0BTJ3QQJM,Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Gear Merchandise Pvt Ltd"
